[2025-11-26 13:41:06] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-26 13:41:20] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-26 15:18:40] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-26 15:40:13] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-26 18:31:54] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-26 20:42:41] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-28 11:25:21] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-28 11:32:04] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-28 11:32:15] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-28 20:51:51] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2025-11-30 06:41:24] User: Administrador (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
